image,correctAns,respModal,frameColor,repSwitch,sequence,target,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,polygonCol.started,polygonWh.started,imagePractice.started,textCue.started,polygonText.started,textPractice.started,keyPractice.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,70.24187279999023,72.22604249999858,72.72693890001392,72.72693890001392,space,34.3975805999944,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,,,,,,0,0,0,0,,,,,,116.7985262000002,,,,,108.18267260002904,108.18267260002904,109.53335169999627,109.53335169999627,109.53335169999627,113.53367420000723,113.53367420000723,113.78389740001876,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_142.png,vaso,,,,,,0,1,1,1,,,,,,125.87996480002766,,,,,,117.30394710000837,118.39722779998556,118.39722779998556,118.39722779998556,122.40172900003381,122.40172900003381,122.86398800002644,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_152.png,caracol,,,,,,0,2,2,2,,,,,,135.09445590001997,,,,,135.5947236000211,126.380117600027,127.61200190003728,127.61200190003728,127.61200190003728,131.61176759999944,131.61176759999944,132.08490499999607,135.09445590001997,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_16.png,cazador,,,,,,0,3,3,3,,,,,,144.32549070002278,,,,,144.82558000000427,135.5947236000211,136.97691070003202,136.97691070003202,136.97691070003202,140.97619270003634,140.97619270003634,141.30982960003894,144.30939370003762,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_175.png,pintor,,,,,,0,4,4,4,,,,,,153.53993740002625,,,,,154.0403722000192,144.82558000000427,146.20786840002984,146.20786840002984,146.20786840002984,150.20728289999533,150.20728289999533,150.5405406000209,153.53993740002625,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_178.png,puente,,,,,,0,5,5,5,,,,,,162.6548489999841,,,,,163.15467580000404,154.0403722000192,155.27211890002945,155.27211890002945,155.27211890002945,159.272358599992,159.272358599992,159.65521960001206,162.6548489999841,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_19.png,pavo,,,,,,0,6,6,6,,,,,,171.7187513000099,,,,,,163.15467580000404,164.35323990002507,164.35323990002507,164.35323990002507,168.35345520003466,168.35345520003466,168.70327150000958,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_199.png,falda,,,,,,0,7,7,7,,,,,,181.11444919998758,,,,,,172.21844969998347,173.63596450001933,173.63596450001933,173.63596450001933,177.63420349999797,177.63420349999797,178.10055949998787,181.11444919998758,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_235.png,aguja,,,,,,0,8,8,8,,,,,,190.14752619998762,,,,,190.6492167999968,181.61712690000422,182.69850920001045,182.69850920001045,182.69850920001045,186.69836069998564,186.69836069998564,187.1482406000141,190.14752619998762,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_242.png,cartero,,,,,,0,9,9,9,,,,,,199.51170830003684,,,,,200.0118996000383,190.6492167999968,192.0640802999842,192.0640802999842,192.0640802999842,196.0790630999836,196.0790630999836,196.51283070002683,199.51170830003684,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_264.png,mano,,,,,,0,10,10,10,,,,,,208.69360709999455,,,,,,200.0118996000383,201.2777986000292,201.2777986000292,201.2777986000292,205.27798700000858,205.27798700000858,205.6907174999942,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_271.png,conejo,,,,,,0,11,11,11,,,,,,217.8929520000238,,,,,,209.19360900000902,210.42561059998116,210.42561059998116,210.42561059998116,214.42506680003135,214.42506680003135,214.89169750001747,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_30.png,granja,,,,,,0,12,12,12,,,,,,226.9227710000123,,,,,227.4223987000296,218.40743439999642,219.5420063000056,219.5420063000056,219.5420063000056,223.55660230002832,223.55660230002832,223.90681140002562,226.9227710000123,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_319.png,vaca,,,,,,0,13,13,13,,,,,,236.1704321000143,,,,,236.6703126000357,227.4223987000296,228.6728468000074,228.6728468000074,228.6728468000074,232.68821059999755,232.68821059999755,233.1711146000307,236.1704321000143,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,,,,,,0,14,14,14,,,,,,245.25175330002094,,,,,245.75109500001417,236.6703126000357,237.76932180003496,237.76932180003496,237.76932180003496,241.76861309999367,241.76861309999367,242.2523627000046,245.25175330002094,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_354.png,cabra,,,,,,0,15,15,15,,,,,,254.6472902999958,,,,,,245.75109500001417,247.13312489999225,247.13312489999225,247.13312489999225,251.1334901000373,251.1334901000373,251.60031970002456,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_377.png,babero,,,,,,0,16,16,16,,,,,,263.7472415000084,,,,,,255.1182527000201,256.3480922000017,256.3480922000017,256.3480922000017,260.3478758999845,260.3478758999845,260.7314113000175,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_381.png,fresa,,,,,,0,17,17,17,,,,,,273.0281813000329,,,,,273.5280983999837,264.24706510000397,265.5455795000307,265.5455795000307,265.5455795000307,269.545260999992,269.545260999992,270.0290471999906,273.0281813000329,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_411.png,puño,,,,,,0,18,18,18,,,,,,282.15953160001663,,,,,,273.5280983999837,274.65988450002624,274.65988450002624,274.65988450002624,278.6600820000167,278.6600820000167,279.143686800031,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_48.png,bombero,,,,,,0,19,19,19,,,,,,291.27384929999243,,,,,,282.6594564000261,283.8746307999827,283.8746307999827,283.8746307999827,287.8744475999847,287.8744475999847,288.25816600001417,,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_487.png,cesta,,,,,,0,20,20,20,,,,,,300.37154610001016,,,,,300.8713224999956,291.7736918000155,292.939262000029,292.939262000029,292.939262000029,296.93884580000304,296.93884580000304,297.3722933999961,300.37154610001016,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,,,,,,0,21,21,21,,,,,,309.48566619999474,,,,,309.98548869998194,300.8713224999956,302.0701394000207,302.0701394000207,302.0701394000207,306.07042780000484,306.07042780000484,306.48664050002117,309.48566619999474,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_552.png,manzana,,,,,,0,22,22,22,,,,,,318.5337346000015,,,,,319.0333355999901,309.98548869998194,311.05137960001593,311.05137960001593,311.05137960001593,315.0516690000077,315.0516690000077,315.5349042000016,318.5337346000015,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
REPSWITCH1_Fam/PICTURE_576.png,guante,,,,,,0,23,23,23,,,,,,327.66494879999664,,,,,328.1650594000239,319.0333355999901,320.1673953999998,320.1673953999998,320.1673953999998,324.1827443999937,324.1827443999937,324.6653898000368,327.66494879999664,,,,,,,,,,,,,,,,,001,2023-05-29_10h47.53.501,REPSWITCH_1,2022.2.5,60.1983535575879,
