image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l3.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l3.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.878670699894428,13.372280200012028,13.372280200012028,13.372280200012028,13.372280200012028,space,3.6351054003462195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,17.025486500002444,space,1.3155462006106973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_663.png,columna,type,darkblue,filler,1,F,1,2,3,1,Extra6,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,18.442358099855483,19.46338490024209,19.46338490024209,19.46338490024209,19.46338490024209,19.46338490024209,19.46338490024209,19.46338490024209,19.46338490024209,"['c', 'o', 'l', 'u', 'm', 'n', 'a']",0,"[1.1458467999473214, 1.611840800382197, 1.7742822002619505, 1.9745976999402046, 2.187870300374925, 2.3593340003862977, 2.4515495002269745]",columna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h17.52.063.wav,22.484530200250447,22.984615299850702,None,,,,,,,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_128.png,muñeca,speak,gold,nontarget,2,NT,1,2,3,1,Stim4_Set1,1,switch,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,22.984615299850702,24.1375281997025,24.1375281997025,24.1375281997025,24.1375281997025,24.1375281997025,24.1375281997025,24.1375281997025,24.1375281997025,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h17.56.741.wav,27.16572989989072,27.665787199512124,None,27.16572989989072,27.16572989989072,27.16572989989072,27.16572989989072,27.16572989989072,27.16572989989072,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_128.png,muñeca,speak,gold,repeat,2,T,1,2,3,1,Stim4_Set1,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,27.665787199512124,28.770160700194538,28.770160700194538,28.770160700194538,28.770160700194538,28.770160700194538,28.770160700194538,28.770160700194538,28.770160700194538,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.01.372.wav,31.791307399980724,32.29143590014428,None,31.791307399980724,31.791307399980724,31.791307399980724,31.791307399980724,31.791307399980724,31.791307399980724,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_8.png,pierna,type,darkblue,filler,1,F,1,2,3,1,Stim3_Set4,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,32.29143590014428,33.36793989967555,33.36793989967555,33.36793989967555,33.36793989967555,33.36793989967555,33.36793989967555,33.36793989967555,33.36793989967555,"['p', 'i', 'e', 'r', 'n', 'a']",0,"[1.1865081004798412, 1.3863291004672647, 1.4749627001583576, 1.5572487004101276, 1.6828433005139232, 1.776486299932003]",pierna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.05.970.wav,36.38921219948679,36.88920139987022,None,36.38921219948679,36.38921219948679,36.38921219948679,36.38921219948679,36.38921219948679,36.38921219948679,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_135.png,traje,speak,gold,nontarget,2,NT,1,2,3,1,Stim3_Set1,1,switch,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,36.88920139987022,38.03526039980352,38.03526039980352,38.03526039980352,38.03526039980352,38.03526039980352,38.03526039980352,38.03526039980352,38.03526039980352,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.10.639.wav,41.06338439974934,,None,41.06338439974934,41.06338439974934,41.06338439974934,41.06338439974934,41.06338439974934,41.06338439974934,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_135.png,traje,speak,gold,repeat,2,T,1,2,3,1,Stim3_Set1,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,41.56338969990611,42.69549040030688,42.69549040030688,42.69549040030688,42.69549040030688,42.69549040030688,42.69549040030688,42.69549040030688,42.69549040030688,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.15.298.wav,45.716796699911356,46.2167897997424,None,45.716796699911356,45.716796699911356,45.716796699911356,45.716796699911356,45.716796699911356,45.716796699911356,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_673.png,tenedor,type,darkblue,filler,1,F,1,2,3,1,Extra5,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,46.2167897997424,47.27941759955138,47.27941759955138,47.27941759955138,47.27941759955138,47.27941759955138,47.27941759955138,47.27941759955138,47.27941759955138,"['t', 'e', 'n', 'e', 'd', 'o', 'r']",0,"[0.8920409008860588, 1.0525398002937436, 1.137316701002419, 1.2389902006834745, 1.4562311004847288, 1.5694095008075237, 1.7019275007769465]",tenedor,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.19.882.wav,50.30760059971362,,None,50.30760059971362,50.30760059971362,50.30760059971362,50.30760059971362,50.30760059971362,50.30760059971362,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
REPSWITCH1/PICTURE_728.png,pulpo,speak,gold,filler,2,F,1,2,3,1,Stim8_Set4,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,50.807740500196815,51.99529829993844,51.99529829993844,51.99529829993844,51.99529829993844,51.99529829993844,51.99529829993844,51.99529829993844,51.99529829993844,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/470104_REPSWITCH1_version1_list3_2024-01-26_09h17.38.599_micRespv1l3_recorded\recording_micRespv1l3_2024-01-26_09h18.24.598.wav,55.023464899510145,,None,55.023464899510145,55.023464899510145,55.023464899510145,55.023464899510145,55.023464899510145,55.023464899510145,,,,,,470104,001,2024-01-26_09h17.38.599,REPSWITCH1_version1_list3,2022.2.4,143.8110195639389,
