image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l4.started;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv2l4.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;8.99154;11.4876549;11.4876549;11.4876549;11.4876549;space;5.9730026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;17.4746078;space;2.0700307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_8.png;pierna;type;gold;filler;1;F;1;4;4;2;Stim3_Set4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;19.6415088;20.7388541;20.7388541;20.7388541;20.7388541;20.7388541;20.7388541;20.7388541;20.7388541;23.767036;23.767036;23.767036;23.767036;23.767036;23.767036;['p', 'i', 'e', 'r', 'n', 'm', 'a', 'backspace', 'backspace'];0;[1.238705299794674, 1.296509899199009, 1.405536899343133, 1.5649971999228, 1.6895759999752045, 1.690560800023377, 1.771262999624014, 2.3397809993475676, 2.4802719997242093];pier;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.41.502.wav;23.767036;24.2670996;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_498.png;taza;speak;darkblue;filler;2;F;1;4;4;2;Stim4_Set4;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;24.2670996;25.4061534;25.4061534;25.4061534;25.4061534;25.4061534;25.4061534;25.4061534;25.4061534;28.4343351;28.4343351;28.4343351;28.4343351;28.4343351;28.4343351;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.46.167.wav;28.4343351;;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_19.png;pavo;speak;darkblue;nontarget;2;NT;1;4;4;2;Stim5_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;28.9344085;30.017855;30.017855;30.017855;30.017855;30.017855;30.017855;30.017855;30.017855;33.0390844;33.0390844;33.0390844;33.0390844;33.0390844;33.0390844;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.50.779.wav;33.0390844;33.5391491;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_19.png;pavo;speak;darkblue;repeat;2;T;1;4;4;2;Stim5_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;33.5391491;34.6226488;34.6226488;34.6226488;34.6226488;34.6226488;34.6226488;34.6226488;34.6226488;37.6508959;37.6508959;37.6508959;37.6508959;37.6508959;37.6508959;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.55.384.wav;37.6508959;;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_319.png;vaca;type;gold;filler;1;F;1;4;4;2;Stim1_Set4;1;repeat;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;38.1508961;39.2413129;39.2413129;39.2413129;39.2413129;39.2413129;39.2413129;39.2413129;39.2413129;42.2695247;42.2695247;42.2695247;42.2695247;42.2695247;42.2695247;['v', 'a', 'c', 'a'];0;[0.9584135003387928, 1.130697499960661, 1.3071317998692393, 1.3808246003463864];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.00.002.wav;42.2695247;;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_169.png;espalda;speak;darkblue;nontarget;2;NT;1;4;4;2;Stim8_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;42.7695567;43.8530826;43.8530826;43.8530826;43.8530826;43.8530826;43.8530826;43.8530826;43.8530826;46.8742504;46.8742504;46.8742504;46.8742504;46.8742504;46.8742504;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.04.614.wav;46.8742504;47.3743284;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_169.png;espalda;speak;darkblue;repeat;2;T;1;4;4;2;Stim8_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;47.3743284;48.5272373;48.5272373;48.5272373;48.5272373;48.5272373;48.5272373;48.5272373;48.5272373;51.5555017;51.5555017;51.5555017;51.5555017;51.5555017;51.5555017;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.09.288.wav;51.5555017;;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
REPSWITCH1/PICTURE_728.png;pulpo;type;gold;filler;1;F;1;4;4;2;Stim8_Set4;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;52.0555632;53.2084117;53.2084117;53.2084117;53.2084117;53.2084117;53.2084117;53.2084117;53.2084117;56.2296303;56.2296303;56.2296303;56.2296303;56.2296303;56.2296303;['p', 'i', 'u', 'l', 'p', 'o', 'backspace', 'backspace', 'backspace', 'backspace'];0;[0.8785664001479745, 1.4164006002247334, 1.4472983004525304, 1.6221574004739523, 1.8684201007708907, 1.9121796004474163, 2.519342500716448, 2.664916600100696, 2.7846527006477118, 2.9192049000412226];pi;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.13.969.wav;56.2296303;56.7297168;None;;;;;;480204;1;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.9016642;
