line	trial_count	RT	Duration	tmin	tier	text	tmax		
1	1	0	1034000,00	0	silences	silent	1.034.000		
4		0	1034000,00	0	transcription	[tongue tap]	1.034.000		
2		1,034	0,586	1,034	silences	sounding  	1,620		
5		1034000	585593,00	1.034.000	transcription	puente	1.619.593		
3		1619593	1360407,00	1.619.593	silences	silent	2.980.000		
6		1619593	1360407,00	1.619.593	transcription	?	2.980.000		
1	2	0	1340352,00	0	silences	silent	1.340.352		
4		0	1340352,00	0	transcription	?	1.340.352		
2		1,340	0,586	1,340	silences	sounding	1,926		
5		1340352	585755,00	1.340.352	transcription	puente	1.926.107		
3		1926107	1073893,00	1.926.107	silences	silent	3.000.000		
6		1926107	1073893,00	1.926.107	transcription	?	3.000.000		
1	3	0	3010000,00	0	silences	sounding	3.010.000		
2		0,000	3,010	0	transcription	[type]	3,010		
1	4	0	1008840,00	0	silences	silent	1.008.840		
4		0	1008840,00	0	transcription	[tongue tap]	1.008.840		
2		1,009	0,601	1,009	silences	sounding	1,610		
5		1008840	600991,00	1.008.840	transcription	vaso	1.609.831		
3		1609831	1430169,00	1.609.831	silences	silent	3.040.000		
6		1609831	1430169,00	1.609.831	transcription	?	3.040.000		
1	5	0	#VALUE!	0	silences	silent	0.944829		
4		0	#VALUE!	0	transcription	[tongue tap] 	0.944829		
2		0,945	0,648	0,945	silences	sounding	1,593		
5		0.944829	#VALUE!	0.944829	transcription	vaso	1.592.752		
3		1592752	1417248,00	1.592.752	silences	silent	3.010.000		
6		1592752	1417248,00	1.592.752	transcription	?	3.010.000		
1	6	0	3040000,00	0	silences	sounding	3.040.000		
2		0,000	3,040	0	transcription	[type]	3,040		 
1	7	0	1808000,00	0	silences	silent	1.808.000		
4		0	1808000,00	0	transcription	[tongue tap]	1.808.000		
2		1,808	0,579	1,808	silences	sounding	2,387		
5		1808000	579301,00	1.808.000	transcription	traje	2.387.301		
3		2387301	612699,00	2.387.301	silences	silent	3.000.000		
6		2387301	612699,00	2.387.301	transcription	?	3.000.000		
1	8	0	3000000,00	0	silences	sounding	3.000.000		
2		0,000	3,000	0	transcription	[type]	3,000		 
1	9	0	3000000,00	0	silences	sounding	3.000.000		
2		0,000	3,000	0	transcription	[type]	3,000		 
1	10	0	1156982,00	0	silences	silent	1.156.982		
4		0	1156982,00	0	transcription	[tongue tap]	1.156.982		
2		1,157	0,788	1,157	silences	sounding	1,945		
5		1156982	788450,00	1.156.982	transcription	mu?eca	1.945.432		
3		1945432	1054568,00	1.945.432	silences	silent	3.000.000		
6		1945432	1054568,00	1.945.432	transcription	?	3.000.000		
1	11	0	2049647,00	0	silences	silent	2.049.647		
4		0	2049647,00	0	transcription	?	2.049.647		
2		2,050	0,602	2,050	silences	sounding	2,651		
5		2049647	601678,00	2.049.647	transcription	pierna	2.651.325		
3		2651325	348675,00	2.651.325	silences	silent	3.000.000		
6		2651325	348675,00	2.651.325	transcription	?	3.000.000		
1	12	0	1867181,00	0	silences	silent	1.867.181		
4		0	1867181,00	0	transcription	[tongue tap]	1.867.181		
2		1,867	0,568	1,867	silences	sounding	2,435		
5		1867181	567616,00	1.867.181	transcription	pavo	2.434.797		
3		2434797	575203,00	2.434.797	silences	silent	3.010.000		
6		2434797	575203,00	2.434.797	transcription	?	3.010.000		
1	13	0	3050000,00	0	silences	sounding	3.050.000		
2		0,000	3,050	0	transcription	[type]	3,050		
1	14	0	1886394,00	0	silences	silent	1.886.394		
4		0	1886394,00	0	transcription	[tongue tap]	1.886.394		
