line	trial_count	RT	Duration	tmin	tier	text	tmax
1	1	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type_breath]	3,040
1	2	0,000	3000000,000	0	silences	sounding	3.000.000
2		0,000	3,000	0,000	transcription	[type]	3,000
1	3	0,000	#VALUE!	0	silences	silent	0.685912
4		0,000	#VALUE!	0	transcription	?	0.685912
2		0,686	0,649	0,686	silences	sounding	1,335
5		0.685912	#VALUE!	0.685912	transcription	mu?eca	1.334.731
3		1334731,000	1665269,000	1.334.731	silences	silent	3.000.000
6		1334731,000	1665269,000	1.334.731	transcription	[swallows]	3.000.000
1	4	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type_breath]	3,010
1	5	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type_breath_bracelet sound]	3,040
1	6	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type_breath]	3,010
1	7	0,000	#VALUE!	0	silences	silent	0.683888
4		0,000	#VALUE!	0	transcription	[articulation]	0.683888
2		0,684	0,562	0,684	silences	sounding	1,246
5		0.683888	#VALUE!	0.683888	transcription	pintor	1.246.118
3		1246118,000	1793882,000	1.246.118	silences	silent	3.040.000
6		1246118,000	1793882,000	1.246.118	transcription	?	3.040.000
1	8	0,000	#VALUE!	0	silences	silent	0.560000
4		0,000	3000000,000	0	transcription	?	3.000.000
2		0,560	0,493	0,560	silences	sounding	1,053
3		1053492,000	1946508,000	1.053.492	silences	silent	3.000.000
1	9	0,000	#VALUE!	0	silences	silent	0.646692
4		0,000	#VALUE!	0	transcription	[articulation]	0.646692
2		0,647	0,554	0,647	silences	sounding	1,201
5		0.646692	#VALUE!	0.646692	transcription	cerdo	1.200.902
3		1200902,000	1799098,000	1.200.902	silences	silent	3.000.000
6		1200902,000	1799098,000	1.200.902	transcription	?	3.000.000
1	10	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type]	3,010
1	11	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type_breath}	3,040
1	12	0,000	#VALUE!	0	silences	silent	0.867039
4		0,000	#VALUE!	0	transcription	?	0.867039
2		0,867	0,622	0,867	silences	sounding	1,489
5		0.867039	#VALUE!	0.867039	transcription	caracol	1.488.792
3		1488792,000	1521208,000	1.488.792	silences	silent	3.010.000
6		1488792,000	1521208,000	1.488.792	transcription	[breath]	3.010.000
1	13	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type_breath]	3,040
1	14	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type]	3,010
1	15	0,000	1060395,000	0	silences	silent	1.060.395
4		0,000	1060395,000	0	transcription	[breath, tongue, articulation]	1.060.395
2		1,060	0,438	1,060	silences	sounding	1,499
5		1060395,000	438199,000	1.060.395	transcription	cuerda	1.498.594
3		1498594,000	1541406,000	1.498.594	silences	silent	3.040.000
6		1498594,000	1541406,000	1.498.594	transcription	[mic sound]	3.040.000
