image;correctAns;respModal;frameColor;trialsPractice.thisRepN;trialsPractice.thisTrialN;trialsPractice.thisN;trialsPractice.thisIndex;textInstr1.started;keyInstr1.started;keyInstr1.keys;keyInstr1.rt;textInstr2.started;keyInstr2.started;keyInstr2.keys;keyInstr2.rt;textInstr3.started;keyInstr3.started;keyInstr3.keys;keyInstr3.rt;textInstrPractice.started;keyInstrPractice.started;keyInstrPractice.keys;keyInstrPractice.rt;textBlank500.started;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonCol.started;polygonWh.started;textCue.started;imagePractice.started;polygonText.started;textPractice.started;keyPractice.started;micPractice.started;keyPractice.keys;keyPractice.corr;keyPractice.rt;subjResponse;micPractice.clip;textEndPractice.started;participant;session;date;expName;psychopyVersion;frameRate;Column1
;;;;;;;;1,58972E+14;1,58972E+14;space;1,50169E+16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
;;;;;;;;;;;;3,09334E+15;3,09334E+15;space;6,89264E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
;;;;;;;;;;;;;;;;3,78478E+15;3,78478E+15;space;1,66014E+15;;;;;;;;;;;;;;;;;;;;;;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
;;;;;;;;;;;;;;;;;;;;3,95307E+15;3,95307E+15;space;9,4933E+15;;;;;;;;;;;;;;;;;;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_612.png;rana;TYPE;indigo;0;0;0;0;;;;;;;;;;;;;;;;;5,36918E+15;4,96093E+15;4,96093E+15;5,07763E+15;5,07763E+15;5,07763E+15;5,07763E+15;5,07763E+15;5,07763E+15;5,07763E+15;5,07763E+15;2,58908E+16;['r', 'a', 'n', 'a'];0;[0.9772344001103193, 1.1260767000494525, 1.252181800082326, 1.4118842000607401];rana;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.02.937.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_599.png;nube;SPEAK;yellow;0;1;1;1;;;;;;;;;;;;;;;;;5,82904E+15;;5,41598E+16;5,52598E+16;5,52598E+16;5,52598E+16;5,52598E+16;5,52598E+16;5,52598E+16;5,52598E+16;5,52598E+16;1,88041E+16;None;0;;;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.07.527.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_570.png;toro;TYPE;indigo;0;2;2;2;;;;;;;;;;;;;;;;;6,29729E+14;;5,87423E+15;5,99416E+15;5,99416E+15;5,99416E+15;5,99416E+15;5,99416E+15;5,99416E+15;5,99416E+15;5,99416E+15;1,72355E+15;['t', 'o', 'r', 'o'];0;[0.8036243999376893, 1.0200825999490917, 1.4720162999583408, 1.724939199979417];toro;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.12.202.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_570.png;toro;TYPE;indigo;0;3;3;3;;;;;;;;;;;;;;;;;6,75551E+15;;6,34245E+14;6,45238E+15;6,45238E+15;6,45238E+15;6,45238E+15;6,45238E+15;6,45238E+15;6,45238E+15;6,45238E+15;9,9739E+15;['t', 'o', 'r', 'o'];0;[0.6956836000317708, 0.8405764000490308, 1.0038945999694988, 1.1776273000286892];toro;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.16.792.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_733.png;gafas;SPEAK;yellow;0;4;4;4;;;;;;;;;;;;;;;;;7,22374E+15;;6,80063E+15;6,92059E+15;6,92059E+15;6,92059E+15;6,92059E+15;6,92059E+15;6,92059E+15;6,92059E+15;6,92059E+15;1,67769E+16;None;0;;;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.21.467.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
REPSWITCH1_Practice/PICTURE_614.png;reina;TYPE;indigo;0;5;5;5;;;;;;;;;;;;;;;;;7,70193E+14;;7,2689E+15;7,39888E+15;7,39888E+15;7,39888E+15;7,39888E+15;7,39888E+15;7,39888E+15;7,39888E+15;7,39888E+15;2,22555E+16;['r', 'e', 'i', 'n', 'a'];0;[0.7784395000198856, 0.8920371000422165, 0.9689767999807373, 1.1521327999653295, 1.2749697000253946];reina;D:\GitHub\experiment1\data/02_REPSWITCH_1_Practice_2023-06-26_12h45.18.822_micPractice_recorded\recording_micPractice_2023-06-26_12h46.26.256.wav;;2;1;2023-06-26_12h45.18.822;REPSWITCH_1_Practice;202224;6,0156E+15;
