image,correctAns,respModal,frameColour,repSwitch,sequence,target,set,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstrMain1.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textInstrMain2.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,keyPause.keys,keyResp.rt,textPause.started,keyPause.started,keyPause.rt,textGoodbye.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,18.68131060001906,20.68605379993096,21.18551999994088,21.18551999994088,space,1.1865876999218017,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
,,,,,,,,,,,,,,,,,,,22.401992699946277,22.401992699946277,space,1.8022777999285609,,,,,,,,,,,,,,,,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,nontarget,2,NT,1,Stim1_Set1,0,0,0,0,,29.21501739998348,,,,,,,,,24.99898279993795,24.99898279993795,26.316389999934472,26.316389999934472,26.316389999934472,26.316389999934472,26.316389999934472,26.316389999934472,26.316389999934472,0.018493699957616627,None,0,,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h22.56.055.wav,None,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,repeat,2,T,1,Stim1_Set1,0,1,1,1,,33.94711579999421,,,,,,,,,,29.666215799981728,30.89950930001214,30.89950930001214,30.89950930001214,30.89950930001214,30.89950930001214,30.89950930001214,30.89950930001214,0.01086899999063462,None,0,,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.00.779.wav,None,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_319.png,vaca,type,indigo,filler,1,F,1,Stim1_Set4,0,2,2,2,,38.56257900001947,,,,,,,,,,34.39848189998884,35.53135469998233,35.53135469998233,35.53135469998233,35.53135469998233,35.53135469998233,35.53135469998233,35.53135469998233,0.030888799927197397,"['b', 'a', 'c', 'a']",0,baca,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.05.391.wav,None,"[1.325433999998495, 1.453731800080277, 1.990790200070478, 2.1174698000540957]",,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,nontarget,2,NT,1,Stim2_Set1,0,3,3,3,,43.24494849995244,,,,,,,,,,39.0140935999807,40.31386739993468,40.31386739993468,40.31386739993468,40.31386739993468,40.31386739993468,40.31386739993468,40.31386739993468,0.12363490008283406,None,0,,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.10.070.wav,None,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,repeat,2,T,1,Stim2_Set1,0,4,4,4,,48.127003800007515,,,,,,,,,,43.696264599915594,45.079340999946,45.079340999946,45.079340999946,45.079340999946,45.079340999946,45.079340999946,45.079340999946,0.00970749999396503,None,0,,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.14.958.wav,None,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_719.png,baño,type,indigo,filler,1,F,1,Stim2_Set4,0,5,5,5,,52.75940320000518,,,,,,,,,,48.578864299925044,50.02829309995286,50.02829309995286,50.02829309995286,50.02829309995286,50.02829309995286,50.02829309995286,50.02829309995286,0.3071761999744922,"['b', 'a', 'n', 'o']",0,bano,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.19.603.wav,None,"[1.0241625999333337, 1.150372999953106, 1.2362968999659643, 1.5344486999092624]",,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_135.png,traje,speak,yellow,nontarget,2,NT,1,Stim3_Set1,0,6,6,6,,57.4581602999242,,,,,,,,,,53.22926860000007,54.46114139992278,54.46114139992278,54.46114139992278,54.46114139992278,54.46114139992278,54.46114139992278,54.46114139992278,0.054599600029177964,None,0,,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.24.286.wav,None,,,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
REPSWITCH1/PICTURE_135.png,traje,type,indigo,switch,1,T,1,Stim3_Set1,0,7,7,7,,62.24035999993794,,,,,,,,,,57.91007759992499,59.19264020002447,59.19264020002447,59.19264020002447,59.19264020002447,59.19264020002447,59.19264020002447,59.19264020002447,0.008935500052757561,"['t', 'r', 'a', 'j', 'e']",0,traje,D:\GitHub\experiment1\data/04_REPSWITCH_1_2023-06-26_15h22.39.238_micResp_recorded\recording_micResp_2023-06-26_15h23.29.071.wav,None,"[0.9110940999817103, 1.117895600036718, 1.2038467000238597, 1.3720556000480428, 1.471246200031601]",,,,,04,001,2023-06-26_15h22.39.238,REPSWITCH_1,2022.2.4,60.02159575291948,
