image,correctAns,respModal,frameColor,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textboxInstr1.started,textboxInstr1_2.started,textboxInstr1_3.started,textboxInstr1_4.started,textboxInstr1_5.started,textboxInstr1_6.started,textboxInstr1_7.started,textboxInstr1_8.started,textboxInstr1_9.started,textboxInstr1_10.started,keyInstr1.started,keyInstr1.keys,keyInstr1.rt,textboxInstr2.started,keyInstr2.started,keyInstr2.keys,keyInstr2.rt,textboxInstr3.started,keyInstr3.started,keyInstr3.keys,keyInstr3.rt,textboxInstrPractice.started,textboxInstrPractice_2.started,textboxInstrPractice_3.started,textboxInstrPractice_4.started,textboxInstrPractice_5.started,textboxInstrPractice_6.started,textboxInstrPractice_7.started,textboxInstrPractice_8.started,textboxInstrPractice_9.started,textboxInstrPractice_10.started,textboxInstrPractice_11.started,textboxInstrPractice_12.started,textboxInstrPractice_13.started,textboxInstrPractice_14.started,textboxInstrPractice_15.started,textboxInstrPractice_16.started,textboxInstrPractice_17.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textBlank500.started,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,textCue.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice1v1.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,micPractice1v1.clip,textBlankLoop.started,textBlankLoop.stopped,polygonCol.stopped,polygonWh.stopped,textCue.stopped,imagePractice.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,5.201087499999971,space,0.9492644999999698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
,,,,,,,,,,,,,,,,,,,,,6.161998399999959,6.161998399999959,space,0.53277989999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
,,,,,,,,,,,,,,,,,,,,,,,,,6.699466599999994,6.699466599999994,space,0.47545530000002145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,7.193747099999996,space,0.4930855000000065,,,,,,,,,,,,,,,,,,,,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
REPSWITCH1_Practice/PICTURE_612.png,rana,TECLEA,darkblue,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.696367899999984,8.201728399999979,8.201728399999979,9.262745999999993,9.262745999999993,9.262745999999993,9.262745999999993,9.262745999999993,9.262745999999993,9.262745999999993,9.262745999999993,0.009922200000005432,"['r', 'a', 'n', 'a']",0,"[0.9038099999999645, 1.047732499999995, 1.127745300000015, 1.2397869000000128]",rana,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/101204_REPSWITCH1_Practice1_version1_2023-09-15_11h50.54.292_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h51.03.173.wav,12.275761199999977,12.775460199999998,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
REPSWITCH1_Practice/PICTURE_599.png,nube,HABLA,gold,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.775460199999998,13.847323699999947,13.847323699999947,13.847323699999947,13.847323699999947,13.847323699999947,13.847323699999947,13.847323699999947,13.847323699999947,0.0031840000000329383,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/101204_REPSWITCH1_Practice1_version1_2023-09-15_11h50.54.292_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h51.07.767.wav,16.871381299999996,,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.371223799999996,18.434762799999987,18.434762799999987,18.434762799999987,18.434762799999987,18.434762799999987,18.434762799999987,18.434762799999987,18.434762799999987,0.0027743999999643165,"['t', 'o', 'r', 'o']",0,"[0.7715795999999955, 0.8998081999999954, 0.995575400000007, 1.0921286000000237]",toro,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/101204_REPSWITCH1_Practice1_version1_2023-09-15_11h50.54.292_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h51.12.355.wav,21.458785899999953,21.95865219999996,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.95865219999996,23.011088299999983,23.011088299999983,23.011088299999983,23.011088299999983,23.011088299999983,23.011088299999983,23.011088299999983,23.011088299999983,0.0013854000000037558,"['t', 'o', 'r', 'o']",0,"[0.6272693999999888, 0.7398868999999877, 0.851087600000028, 0.9315005999999926]",toro,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/101204_REPSWITCH1_Practice1_version1_2023-09-15_11h50.54.292_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h51.16.932.wav,26.035096599999974,26.534965299999953,26.035096599999974,26.035096599999974,26.035096599999974,26.035096599999974,26.035096599999974,26.035096599999974,26.035096599999974,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
REPSWITCH1_Practice/PICTURE_733.png,gafas,HABLA,gold,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.534965299999953,27.556844599999977,27.556844599999977,27.556844599999977,27.556844599999977,27.556844599999977,27.556844599999977,27.556844599999977,27.556844599999977,0.002580799999975625,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/101204_REPSWITCH1_Practice1_version1_2023-09-15_11h50.54.292_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h51.21.477.wav,30.580910699999947,31.08073159999998,,,,,,,,101204,001,2023-09-15_11h50.54.292,REPSWITCH1_Practice1_version1,2022.2.4,359.9154918424178,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08073159999998,32.113720099999966,32.113720099999966,32.113720099999966,32.113720099999966,32.113720099999966,32.113720099999966,32.113720099999966,32.113720099999966,0.0029345000000375876,,,,,,,,,,,,,,,,,,,,,
