image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,25.06903549999697,27.08303519996116,27.58292989997426,27.58292989997426,space,16.551629499997944,,,,,,,,,,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,0,0,4,,52.2088356000022,,,,,52.713016299996525,44.713616899971385,45.97810839995509,45.97810839995509,45.97810839995509,0.037660300033167005,49.381382399995346,51.88059599994449,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h03.34.700.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,1,1,27,,60.04040179995354,,,,,60.54468549997546,52.713016299996525,54.059279199980665,54.059279199980665,54.059279199980665,0.13246880000224337,57.41278459999012,59.911968200001866,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h03.42.734.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,2,2,7,,67.9552855999791,,,,,,60.54468549997546,61.790339200000744,61.790339200000744,61.790339200000744,0.0367347999708727,65.24436839995906,67.74432749999687,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h03.50.559.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Practice/PICTURE_110.png,mesa,0,3,3,37,,75.72208969999338,,,,,,68.46325609995984,69.59066729998449,69.59066729998449,69.59066729998449,0.04587309999624267,73.02798039995832,75.545410599967,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h03.58.343.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,4,4,25,,83.65444739995291,,,,,,76.22626359999413,77.53905539994594,77.53905539994594,77.53905539994594,0.1105976999970153,80.90977069997462,83.4089171999949,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h04.06.229.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,5,5,38,,91.50300939998124,,,,,,84.1586558999843,85.30445989995496,85.30445989995496,85.30445989995496,0.011430400016251951,88.77452989999438,91.27416559995618,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h04.14.098.wav,91.50300939998124,91.50300939998124,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,6,6,9,,99.28112229995895,,,,,,92.00721059995703,93.16909969999688,93.16909969999688,93.16909969999688,0.07310219999635592,96.58384279999882,99.08473429997684,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h04.21.894.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,7,7,24,,107.0293604999897,,,,,,99.78586469998118,100.88157430000138,100.88157430000138,100.88157430000138,0.008773199981078506,104.38031409995165,,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h04.29.656.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,8,8,2,,114.9605162999942,,,,,,107.53893249999965,108.84751069999766,108.84751069999766,108.84751069999766,0.03696880000643432,112.29438479995588,114.9605162999942,D:\GitHub\experiment1\data/1307_Fam_2023-07-13_12h02.59.812_micFam_recorded\recording_micFam_2023-07-13_12h04.37.591.wav,,,1307,001,2023-07-13_12h02.59.812,Fam,2022.2.4,60.108616263936696,
