image;correctAns;respModal;frameColor;trialsPractice.thisRepN;trialsPractice.thisTrialN;trialsPractice.thisN;trialsPractice.thisIndex;textboxInstr1.started;textboxInstr1_2.started;textboxInstr1_3.started;textboxInstr1_4.started;textboxInstr1_5.started;textboxInstr1_6.started;textboxInstr1_7.started;textboxInstr1_8.started;textboxInstr1_9.started;textboxInstr1_10.started;keyInstr1.started;keyInstr1.keys;keyInstr1.rt;textboxInstr2.started;keyInstr2.started;keyInstr2.keys;keyInstr2.rt;textboxInstr3.started;keyInstr3.started;keyInstr3.keys;keyInstr3.rt;textboxInstrPractice.started;textboxInstrPractice_2.started;textboxInstrPractice_3.started;textboxInstrPractice_4.started;textboxInstrPractice_5.started;textboxInstrPractice_6.started;textboxInstrPractice_7.started;textboxInstrPractice_8.started;textboxInstrPractice_9.started;textboxInstrPractice_10.started;textboxInstrPractice_11.started;textboxInstrPractice_12.started;textboxInstrPractice_13.started;textboxInstrPractice_14.started;textboxInstrPractice_15.started;textboxInstrPractice_16.started;textboxInstrPractice_17.started;keyInstrPractice.started;keyInstrPractice.keys;keyInstrPractice.rt;fixationITI.started;fixationITI.stopped;fixationITI.rt;polygonCol.started;polygonWh.started;textCue.started;imagePractice.started;polygonText.started;textPractice.started;keyPractice.started;micPractice1v1.started;keyPractice.keys;keyPractice.corr;keyPractice.rt;subjResponse;micPractice1v1.clip;textBlankLoop.started;textBlankLoop.stopped;polygonCol.stopped;polygonWh.stopped;textCue.stopped;imagePractice.stopped;polygonText.stopped;textPractice.stopped;keyPractice.stopped;textboxEndPracrice.started;keyEndPractice.started;keyEndPractice.keys;keyEndPractice.rt;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;36.2641622;space;6.0009316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
;;;;;;;;;;;;;;;;;;;;;42.2809052;42.2809052;space;0.7360985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
;;;;;;;;;;;;;;;;;;;;;;;;;43.041453;43.041453;space;0.8632129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;43.9587102;space;0.8584607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_612.png;rana;TECLEA;darkblue;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.9783563;46.32662;1.35;46.32662;46.32662;46.32662;46.32662;46.32662;46.32662;46.32662;46.32662;['r', 'a', 'n', 'a'];0;[1.023762700000134, 1.1035518000001048, 1.1763433000000987, 1.2991112000001976];rana;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.07.960.wav;49.283959;49.789866;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_599.png;nube;HABLA;gold;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.789866;51.0761376;1.29;51.0761376;51.0761376;51.0761376;51.0761376;51.0761376;51.0761376;51.0761376;51.0761376;['n', 'u', 'b', 'e'];0;[1.6050722000002224, 1.7969697000000906, 2.169511100000136, 2.245512200000121];nube;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.12.791.wav;54.1216385;54.6220701;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_570.png;toro;TECLEA;darkblue;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.6220701;55.9040661;1.28;55.9040661;55.9040661;55.9040661;55.9040661;55.9040661;55.9040661;55.9040661;55.9040661;['t', 'o', 'r', 'o'];0;[0.8552391000000625, 0.9778919000002588, 1.0857570000000578, 1.2023740000001908];toro;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.17.640.wav;58.9610481;59.4709095;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_570.png;toro;TECLEA;darkblue;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.4709095;60.73893;1.27;60.73893;60.73893;60.73893;60.73893;60.73893;60.73893;60.73893;60.73893;['t', 'o', 'r', 'o'];0;[0.651010000000042, 0.8105701000001773, 0.9891011000001981, 1.1336948000000575];toro;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.22.570.wav;63.9101453;64.419819;63.9101453;63.9101453;63.9101453;63.9101453;63.9101453;63.9101453;63.9101453;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_733.png;gafas;HABLA;gold;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.419819;65.6160145;1.2;65.6160145;65.6160145;65.6160145;65.6160145;65.6160145;65.6160145;65.6160145;65.6160145;['g', 'a', 'f', 'a', 's'];0;[0.824461200000087, 0.9899298000000272, 1.1814489000000776, 1.4636935000000904, 1.6462386000000606];gafas;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.27.341.wav;68.573066;69.0853337;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
REPSWITCH1_Practice/PICTURE_614.png;reina;TECLEA;darkblue;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.0853337;70.4631476;1.38;70.4631476;70.4631476;70.4631476;70.4631476;70.4631476;70.4631476;70.4631476;70.4631476;['r', 'e', 'i', 'n', 'a'];0;[0.8592610000000604, 0.9459876000000804, 1.0187992000001032, 1.2611368000000311, 1.2840837999999621];reina;D:\GitHub\experiment1\data/2009_REPSWITCH1_Practice1_version1_2023-09-20_10h12.43.755_micPractice1v1_recorded\recording_micPractice1v1_2023-09-20_10h13.32.168.wav;73.5379033;74.0508122;;;;;;;;;;;;2009;1;2023-09-20_10h12.43.755;REPSWITCH1_Practice1_version1;2022.2.4;60.00895334;
