image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textBlankLoop.stopped,textboxPause.started,keyPause.started,keyPause.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,8.258412999974098,10.762140999984695,10.762140999984695,10.762140999984695,10.762140999984695,space,2.1317790999892168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,12.91465639998205,space,3.57843039999716,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_340.png,espejo,type,darkblue,filler,1,F,1,1,1,1,Extra1,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,16.59660879999865,17.811943899985636,17.811943899985636,17.811943899985636,17.811943899985636,17.811943899985636,17.811943899985636,17.811943899985636,17.811943899985636,"['e', 'p', 'e', 'j', 'o']",0,"[1.577157600026112, 1.8331526000110898, 2.2812213000142947, 2.505496400000993, 2.633494600013364]",epejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h48.59.123.wav,20.839881899999455,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_391.png,cadena,speak,gold,filler,2,F,1,1,1,1,Extra2,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,21.339901599974837,22.444174699980067,22.444174699980067,22.444174699980067,22.444174699980067,22.444174699980067,22.444174699980067,22.444174699980067,22.444174699980067,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.03.761.wav,25.47240439997404,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,nontarget,2,NT,1,1,1,1,Stim1_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,25.972448499989696,27.035485000000335,27.035485000000335,27.035485000000335,27.035485000000335,27.035485000000335,27.035485000000335,27.035485000000335,27.035485000000335,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.08.358.wav,30.070257899991702,None,30.070257899991702,30.070257899991702,30.070257899991702,30.070257899991702,30.070257899991702,30.070257899991702,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,repeat,2,T,1,1,1,1,Stim1_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,30.569966999988537,31.688667199981865,31.688667199981865,31.688667199981865,31.688667199981865,31.688667199981865,31.688667199981865,31.688667199981865,31.688667199981865,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.12.998.wav,34.70969299998251,None,,,,,,,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,1,1,1,Stim1_Set4,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,35.20975919999182,36.265759699977934,36.265759699977934,36.265759699977934,36.265759699977934,36.265759699977934,36.265759699977934,36.265759699977934,36.265759699977934,"['v', 'a', 'c', 'a']",0,"[0.8833335000090301, 0.9632896000111941, 1.1072727999999188, 1.1882514999888372]",vaca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.17.577.wav,39.28602629998932,None,,,,,,,39.78665439999895,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,nontarget,2,NT,1,1,1,1,Stim2_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,39.78665439999895,40.95359659998212,40.95359659998212,40.95359659998212,40.95359659998212,40.95359659998212,40.95359659998212,40.95359659998212,40.95359659998212,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.22.277.wav,43.9884933999856,None,43.9884933999856,43.9884933999856,43.9884933999856,43.9884933999856,43.9884933999856,43.9884933999856,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,repeat,2,T,1,1,1,1,Stim2_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,44.4887334999803,45.607082899980014,45.607082899980014,45.607082899980014,45.607082899980014,45.607082899980014,45.607082899980014,45.607082899980014,45.607082899980014,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.26.927.wav,48.64187549997587,None,48.64187549997587,48.64187549997587,48.64187549997587,48.64187549997587,48.64187549997587,48.64187549997587,,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
REPSWITCH1/PICTURE_719.png,baño,type,darkblue,filler,1,F,1,1,1,1,Stim2_Set4,1,switch,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,49.141819699987536,50.23270379999303,50.23270379999303,50.23270379999303,50.23270379999303,50.23270379999303,50.23270379999303,50.23270379999303,50.23270379999303,"['b', 'a', 'ñ', 'o']",0,"[0.9645765000022948, 1.0775546999939252, 1.7962720000068657, 2.1162351999955717]",baño,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version1_list1_2023-09-21_11h48.44.672_micRespv1l1_recorded\recording_micRespv1l1_2023-09-21_11h49.31.544.wav,53.25356459998875,None,,,,,,,53.75383000000147,,,,2109,001,2023-09-21_11h48.44.672,REPSWITCH1_version1_list1,2022.2.4,143.66577598949524,
