image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textBlankLoop.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,13.89976190001471,16.402312299993355,16.402312299993355,16.402312299993355,16.402312299993355,space,0.4833075999922585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,16.909398200019496,space,0.6002697999938391,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_646.png,tronco,speak,darkblue,filler,2,F,1,3,2,2,Extra4,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,17.61786500000744,18.680689800006803,18.680689800006803,18.680689800006803,18.680689800006803,18.680689800006803,18.680689800006803,18.680689800006803,18.680689800006803,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h03.37.276.wav,21.701629699993646,None,,,,,,,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,3,2,2,Extra1,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,22.201992100017378,23.313103599997703,23.313103599997703,23.313103599997703,23.313103599997703,23.313103599997703,23.313103599997703,23.313103599997703,23.313103599997703,"['e', 's', 'p', 'e', 'j', 'o']",0,espejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h03.41.919.wav,26.340048600017326,None,26.340048600017326,26.340048600017326,26.340048600017326,26.340048600017326,26.340048600017326,26.340048600017326,"[0.7405383000150323, 0.9325302999932319, 1.0765253000136, 1.2045312999980524, 1.5095372000068892, 1.604535799997393]",26.840620000002673,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_338.png,regalo,speak,darkblue,filler,2,F,1,3,2,2,Stim6_Set4,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,26.840620000002673,28.01515439999639,28.01515439999639,28.01515439999639,28.01515439999639,28.01515439999639,28.01515439999639,28.01515439999639,28.01515439999639,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h03.46.622.wav,31.050069899996743,None,31.050069899996743,31.050069899996743,31.050069899996743,31.050069899996743,31.050069899996743,31.050069899996743,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim7_Set1,1,repeat,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,31.550533300003735,32.68935940001393,32.68935940001393,32.68935940001393,32.68935940001393,32.68935940001393,32.68935940001393,32.68935940001393,32.68935940001393,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h03.51.295.wav,35.71647780001513,None,35.71647780001513,35.71647780001513,35.71647780001513,35.71647780001513,35.71647780001513,35.71647780001513,,36.216657000011764,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,repeat,2,T,1,3,2,2,Stim7_Set1,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,36.216657000011764,37.28621900000144,37.28621900000144,37.28621900000144,37.28621900000144,37.28621900000144,37.28621900000144,37.28621900000144,37.28621900000144,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h03.55.889.wav,40.315162600018084,None,40.315162600018084,40.315162600018084,40.315162600018084,40.315162600018084,40.315162600018084,40.315162600018084,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_498.png,taza,type,gold,filler,1,F,1,3,2,2,Stim4_Set4,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,40.81540399999358,41.836327700002585,41.836327700002585,41.836327700002585,41.836327700002585,41.836327700002585,41.836327700002585,41.836327700002585,41.836327700002585,"['t', 'a', 'z', 'a']",0,taza,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h04.00.432.wav,44.85741810000036,None,,,,,,,"[0.8572438000119291, 1.0970629999937955, 1.4659687000093982, 1.7059260999958497]",,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim6_Set1,1,switch,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,45.35749270001543,46.44817950000288,46.44817950000288,46.44817950000288,46.44817950000288,46.44817950000288,46.44817950000288,46.44817950000288,46.44817950000288,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h04.05.044.wav,49.46911150001688,None,,,,,,,,49.96907530000317,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,repeat,2,T,1,3,2,2,Stim6_Set1,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,49.96907530000317,51.254300100001274,51.254300100001274,51.254300100001274,51.254300100001274,51.254300100001274,51.254300100001274,51.254300100001274,51.254300100001274,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list2_2023-09-21_12h03.27.632_micRespv2l2_recorded\recording_micRespv2l2_2023-09-21_12h04.09.861.wav,54.28937420001603,None,54.28937420001603,54.28937420001603,54.28937420001603,54.28937420001603,54.28937420001603,54.28937420001603,,,2109,001,2023-09-21_12h03.27.632,REPSWITCH1_version2_list2,2022.2.4,143.86626193624778,
