image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l3.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l3.clip,textBlankLoop.started,keyPause.keys,textBlankLoop.stopped,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,9.219726899988018,11.72322859999258,11.72322859999258,11.72322859999258,11.72322859999258,space,1.1736061999981757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,12.924216199986404,space,2.0519166000012774,,,,,,,,,,,,,,,,,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_663.png,columna,type,gold,filler,1,F,1,2,3,2,Extra6,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15.078085299988743,16.196131200005766,16.196131200005766,16.196131200005766,16.196131200005766,16.196131200005766,16.196131200005766,16.196131200005766,16.196131200005766,"['c', 'o', 'l', 'u', 'm', 'n', 'a']",0,"[1.452057300019078, 1.627985400002217, 1.803947500011418, 1.9969821000122465, 2.2048709000227973, 2.364195700007258, 2.4441636000119615]",columna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.25.484.wav,19.217517099983525,None,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,nontarget,2,NT,1,2,3,2,Stim4_Set1,1,switch,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,19.7172556000005,20.89105199999176,20.89105199999176,20.89105199999176,20.89105199999176,20.89105199999176,20.89105199999176,20.89105199999176,20.89105199999176,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.30.181.wav,23.9124319999828,None,24.412527899985434,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,repeat,2,T,1,2,3,2,Stim4_Set1,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,24.412527899985434,25.50971660000505,25.50971660000505,25.50971660000505,25.50971660000505,25.50971660000505,25.50971660000505,25.50971660000505,25.50971660000505,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.34.799.wav,28.530866499990225,None,29.03093799998169,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_8.png,pierna,type,gold,filler,1,F,1,2,3,2,Stim3_Set4,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,29.03093799998169,30.190928700001677,30.190928700001677,30.190928700001677,30.190928700001677,30.190928700001677,30.190928700001677,30.190928700001677,30.190928700001677,"['p', 'i', 'e', 'r', 'n', 'a']",0,"[0.8661320999963209, 1.1701217999798246, 1.3292941999970935, 1.4252604999928735, 1.4892915999807883, 1.601293199986685]",pierna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.39.490.wav,33.21819369998411,None,33.71929710000404,33.21819369998411,33.21819369998411,33.21819369998411,33.21819369998411,33.21819369998411,33.21819369998411,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_135.png,traje,speak,darkblue,nontarget,2,NT,1,2,3,2,Stim3_Set1,1,switch,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,33.71929710000404,34.795808099996066,34.795808099996066,34.795808099996066,34.795808099996066,34.795808099996066,34.795808099996066,34.795808099996066,34.795808099996066,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.44.084.wav,37.8170765999821,None,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_135.png,traje,speak,darkblue,repeat,2,T,1,2,3,2,Stim3_Set1,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,38.316658600000665,39.40734049997991,39.40734049997991,39.40734049997991,39.40734049997991,39.40734049997991,39.40734049997991,39.40734049997991,39.40734049997991,"['t', 'r', 'a', 'j', 'e']",0,"[0.7376699000014924, 0.7686671999981627, 0.9928284000197891, 1.072823900001822, 1.184831300022779]",traje,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.48.696.wav,42.428527899988694,None,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_673.png,tenedor,type,gold,filler,1,F,1,2,3,2,Extra5,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,42.928478999994695,43.970492199994624,43.970492199994624,43.970492199994624,43.970492199994624,43.970492199994624,43.970492199994624,43.970492199994624,43.970492199994624,"['t', 'e', 'n', 'e', 'd', 'o', 'r']",0,"[0.8940465999767184, 0.9740437000000384, 1.086043699993752, 1.1500401999801397, 1.294053099991288, 1.4063368999923114, 1.5183407999866176]",tenedor,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.53.260.wav,46.991484500002116,None,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
REPSWITCH1/PICTURE_728.png,pulpo,speak,darkblue,filler,2,F,1,2,3,2,Stim8_Set4,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,47.49189000000479,48.54747119999956,48.54747119999956,48.54747119999956,48.54747119999956,48.54747119999956,48.54747119999956,48.54747119999956,48.54747119999956,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_version2_list3_2023-09-21_12h05.13.648_micRespv2l3_recorded\recording_micRespv2l3_2023-09-21_12h05.57.836.wav,51.56849809997948,None,,,,,,,,2109,001,2023-09-21_12h05.13.648,REPSWITCH1_version2_list3,2022.2.4,144.0032026019669,
