image,correctAns,respModal,frameColour,repSwitch,sequence,target,set,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstrMain.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,micResp.stopped,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textDebrief.started,textGoodbye.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,12.311362200009171,14.32533289998537,14.825418599997647,14.825418599997647,space,3.046172700007446,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,nontarget,2,NT,1,Stim1_Set1,0,0,0,0,,22.640053599956445,,,,,23.139641899964772,18.455956299963873,19.673530799977016,19.673530799977016,19.673530799977016,19.673530799977016,19.673530799977016,19.673530799977016,19.673530799977016,0.0043071000254713,2.03397520002909,None,0,,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h50.57.861.wav,,,,,,,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,repeat,2,T,1,Stim1_Set1,0,1,1,1,,27.338478399964515,,,,,27.83831729996018,23.139641899964772,24.34038229996804,24.34038229996804,24.34038229996804,24.34038229996804,24.34038229996804,24.34038229996804,24.34038229996804,0.0027341999812051654,1.9997492000111379,None,0,,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.02.560.wav,27.338478399964515,27.338478399964515,27.338478399964515,27.338478399964515,27.338478399964515,27.338478399964515,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_135.png,traje,type,blue,filler,1,F,1,Stim1_Set4,0,2,2,2,,31.95449739997275,,,,,,27.83831729996018,28.954475399979856,28.954475399979856,28.954475399979856,28.954475399979856,28.954475399979856,28.954475399979856,28.954475399979856,0.015344200015533715,2.017378800024744,"['t', 'r', 'a', 'j', 'e']",0,traje,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.07.175.wav,,,,,,,"[0.9410681000445038, 1.03549690003274, 1.2560385000542738, 1.4005664000287652, 1.575645400036592]",,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,nontarget,2,NT,1,Stim2_Set1,0,3,3,3,,36.51964740001131,,,,,,32.453773999994155,33.504862800007686,33.504862800007686,33.504862800007686,33.504862800007686,33.504862800007686,33.504862800007686,33.504862800007686,0.006452100002206862,2.0003375000087544,None,0,,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.11.741.wav,,,,,,,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,repeat,2,T,1,Stim2_Set1,0,4,4,4,,41.06713189999573,,,,,,37.01965949998703,38.03747039998416,38.03747039998416,38.03747039998416,38.03747039998416,38.03747039998416,38.03747039998416,38.03747039998416,0.0023236999986693263,2.0002767000114545,None,0,,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.16.272.wav,,,,,,,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_464.png,goma,type,blue,filler,1,F,1,Stim2_Set4,0,5,5,5,,45.76768299995456,,,,,,41.55212119995849,42.76800749998074,42.76800749998074,42.76800749998074,42.76800749998074,42.76800749998074,42.76800749998074,42.76800749998074,0.007399699999950826,2.016351800004486,"['g', 'o', 'm', 'a']",0,goma,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.20.989.wav,,,,,,,"[0.9344444000162184, 1.2577421000460163, 1.4504528000252321, 1.5568953000474721]",,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_152.png,caracol,speak,yellow,nontarget,2,NT,1,Stim3_Set1,0,6,6,6,,50.44927260000259,,,,,,46.26719280000543,47.450149499985855,47.450149499985855,47.450149499985855,47.450149499985855,47.450149499985855,47.450149499985855,47.450149499985855,0.007134700019378215,2.0164202000014484,None,0,,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.25.671.wav,,,,,,,,,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_152.png,caracol,type,blue,switch,1,T,1,Stim3_Set1,0,7,7,7,,55.14844359998824,,,,,,50.949769800005015,52.13415160001023,52.13415160001023,52.13415160001023,52.13415160001023,52.13415160001023,52.13415160001023,52.13415160001023,0.003581999975722283,1.999367899959907,"['s', 'a', 'l', 'i', 'g', 'k', 'a', 'r', 'i']",0,saligkai,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.30.370.wav,,,,,,,"[0.9673875000444241, 1.0838454000186175, 1.177007800026331, 1.3641981999971904, 1.574105400010012, 1.67701240000315, 1.743763400008902, 1.9015156000386924, 1.91385780001292]",,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
REPSWITCH1/PICTURE_19.png,pavo,type,blue,nontarget,1,NT,1,Stim4_Set1,0,8,8,8,,59.880544299958274,,,,,,55.6481158999959,56.88166929996805,56.88166929996805,56.88166929996805,56.88166929996805,56.88166929996805,56.88166929996805,56.88166929996805,0.0073364999843761325,2.016015100001823,"['p', 'a', 'v', 'o']",0,pavo,D:\GitHub\experiment1\data/3_REPSWITCH_1_2023-06-12_10h50.42.296_micResp_recorded\recording_micResp_2023-06-12_10h51.35.102.wav,,,,,,,"[1.3988483999855816, 1.4756538999499753, 1.6759628999861889, 1.7155338999582455]",,,3,001,2023-06-12_10h50.42.296,REPSWITCH_1,2022.2.5,59.983720426992804,
