image,correctAns,respModal,frameColor,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textboxInstr1.started,textboxInstr1_2.started,textboxInstr1_3.started,textboxInstr1_4.started,textboxInstr1_5.started,textboxInstr1_6.started,textboxInstr1_7.started,textboxInstr1_8.started,textboxInstr1_9.started,textboxInstr1_10.started,keyInstr1.started,keyInstr1.keys,keyInstr1.rt,textboxInstr2.started,keyInstr2.started,keyInstr2.keys,keyInstr2.rt,textboxInstr3.started,keyInstr3.started,keyInstr3.keys,keyInstr3.rt,textboxInstrPractice.started,textboxInstrPractice_2.started,textboxInstrPractice_3.started,textboxInstrPractice_4.started,textboxInstrPractice_5.started,textboxInstrPractice_6.started,textboxInstrPractice_7.started,textboxInstrPractice_8.started,textboxInstrPractice_9.started,textboxInstrPractice_10.started,textboxInstrPractice_11.started,textboxInstrPractice_12.started,textboxInstrPractice_13.started,textboxInstrPractice_14.started,textboxInstrPractice_15.started,textboxInstrPractice_16.started,textboxInstrPractice_17.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textBlank500.started,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,textCue.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice1v1.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,micPractice1v1.clip,textBlankLoop.started,textBlankLoop.stopped,polygonCol.stopped,polygonWh.stopped,textCue.stopped,imagePractice.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,textBlank2.started,textBlank2.stopped,textboxEndPracrice.started,keyEndPractice.started,keyEndPractice.keys,keyEndPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,5.185571499999924,space,1.7911729999998443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
,,,,,,,,,,,,,,,,,,,,,6.992343699999992,6.992343699999992,space,0.6881510000000617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
,,,,,,,,,,,,,,,,,,,,,,,,,7.685166799999934,7.685166799999934,space,0.49056770000015604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,8.193319399999837,space,0.4945459000000483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_612.png,rana,TECLEA,darkblue,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69879149999997,9.204130899999882,9.204130899999882,10.306682199999841,10.306682199999841,10.306682199999841,10.306682199999841,10.306682199999841,10.306682199999841,10.306682199999841,10.306682199999841,0.004971300000079282,"['r', 'a', 'n', 'a']",0,"[0.8935257999999067, 1.0215868000000228, 1.1335801000000174, 1.2615407999999206]",rana,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.08.553.wav,13.333530399999972,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_599.png,nube,HABLA,gold,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.836666100000002,14.874709999999823,14.874709999999823,14.874709999999823,14.874709999999823,14.874709999999823,14.874709999999823,14.874709999999823,14.874709999999823,0.001980900000035035,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.13.121.wav,17.898715899999843,18.398577799999885,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.398577799999885,19.43161289999989,19.43161289999989,19.43161289999989,19.43161289999989,19.43161289999989,19.43161289999989,19.43161289999989,19.43161289999989,0.0014926000001196371,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.17.678.wav,22.4556134999998,22.955452100000002,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.955452100000002,23.983894399999826,23.983894399999826,23.983894399999826,23.983894399999826,23.983894399999826,23.983894399999826,23.983894399999826,23.983894399999826,0.0013917000001129054,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.22.227.wav,27.00414089999981,27.504003199999943,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_733.png,gafas,HABLA,gold,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.504003199999943,28.554452399999946,28.554452399999946,28.554452399999946,28.554452399999946,28.554452399999946,28.554452399999946,28.554452399999946,28.554452399999946,0.0012936999999055843,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.26.797.wav,31.574937099999943,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_614.png,reina,TECLEA,darkblue,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07491199999981,33.15584059999992,33.15584059999992,33.15584059999992,33.15584059999992,33.15584059999992,33.15584059999992,33.15584059999992,33.15584059999992,0.001538299999992887,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.31.398.wav,36.17623759999992,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
REPSWITCH1_Practice/PICTURE_110.png,mesa,HABLA,gold,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.676062,37.784076400000004,37.784076400000004,37.784076400000004,37.784076400000004,37.784076400000004,37.784076400000004,37.784076400000004,37.784076400000004,0.0013844999998582352,None,0,,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/801725_REPSWITCH1_Practice1_version1_2023-09-15_11h38.58.708_micPractice1v1_recorded\recording_micPractice1v1_2023-09-15_11h39.36.030.wav,40.808101799999804,,,,,,,,,,,,,,,801725,001,2023-09-15_11h38.58.708,REPSWITCH1_Practice1_version1,2022.2.4,360.02174531364034,
